HOUSEID,VARSTRAT,WTHHFIN,DRVRCNT,CDIVMSAR,CENSUS_D,CENSUS_R,HH_HISP,HH_RACE,HHFAMINC,HHRELATD,HHRESP,HHSIZE,HHSTATE,HHSTFIPS,HHVEHCNT,HOMEOWN,HOMETYPE,MSACAT,MSASIZE,NUMADLT,RAIL,RESP_CNT,SCRESP,TRAVDAY,URBAN,URBANSIZE,URBRUR,WRKCOUNT,TDAYDATE,FLAG100,LIF_CYC,CNTTDHH,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20000017,48,264.19469357,2,33,03,02,02,01,18,-1,02,3,IN,18,3,01,01,03,03,3,02,3,-1,04,04,06,02,1,200904,01,10,13,TC,300,5,300,75,300,5,300,XXXXX,XXXX
20000231,61,1278.1298855,1,73,07,03,01,01,08,-1,01,1,TX,48,1,01,02,03,03,1,02,1,01,04,01,03,01,1,200812,01,01,5,S,1500,30,3000,1500,1500,5,3000,XXXXX,XXXX
20000521,59,383.45059859,2,73,07,03,01,01,06,-1,01,2,TX,48,2,01,01,03,03,2,02,2,-1,01,01,03,01,1,200902,01,10,6,U,1500,30,3000,3000,3000,20,7000,XXXXX,XXXX
20001283,26,2834.4889714,1,21,02,01,02,02,03,-1,01,1,NY,36,0,02,03,01,05,1,01,1,01,06,01,05,01,0,200806,01,09,4,U,30000,90,30000,5000,30000,90,30000,35620,5602
20001603,37,131.5991816,2,74,07,03,02,01,16,-1,01,2,TX,48,3,01,01,04,06,2,02,2,-1,03,04,06,02,1,200808,01,10,16,TC,50,20,50,25,50,20,50,19100,-1
20001649,27,704.59468988,2,33,03,02,02,01,17,-1,01,2,WI,55,3,01,01,03,02,2,02,2,-1,05,01,02,01,0,200806,01,10,14,TC,300,20,300,750,300,30,750,XXXXX,XXXX
20002413,38,158.54969887,2,82,08,04,02,01,01,-1,01,3,AZ,04,0,01,01,02,05,3,02,3,-1,03,01,04,01,1,200811,01,10,4,S,3000,40,7000,1500,3000,20,7000,38060,6200
20002440,63,331.86308584,2,53,05,03,02,01,-7,-1,01,2,SC,45,2,01,01,03,03,2,02,2,-1,06,01,02,01,0,200809,01,10,6,TC,300,5,300,25,300,5,750,XXXXX,XXXX
20002570,91,225.21090109,2,72,07,03,02,01,16,-1,01,4,TX,48,2,01,01,02,05,2,02,4,-1,05,01,04,01,2,200807,01,06,21,C,1500,20,7000,1500,1500,20,7000,26420,3362
20002888,52,107.14252258,1,43,04,02,02,01,04,-1,01,1,IA,19,1,02,04,03,01,1,02,1,01,02,01,01,01,0,200903,01,09,2,TC,300,5,750,750,300,20,1500,XXXXX,XXXX
