HOUSEID,WTHHFIN,VEHID,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,FLAG100,CDIVMSAR,CENSUS_D,CENSUS_R,HHSTATE,HHSTFIPS,HYBRID,MAKECODE,MODLCODE,MSACAT,MSASIZE,OD_READ,RAIL,TRAVDAY,URBAN,URBANSIZE,URBRUR,VEHCOMM,VEHOWNMO,VEHYEAR,WHOMAIN,WRKCOUNT,TDAYDATE,VEHAGE,PERSONID,HH_HISP,HH_RACE,HOMEOWN,HOMETYPE,LIF_CYC,ANNMILES,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,BEST_FLG,BESTMILE,BEST_EDT,BEST_OUT,FUELTYPE,GSYRGAL,GSCOST,GSTOTCST,EPATMPG,EPATMPGF,EIADMPG,VEHTYPE,HH_CBSA,HHC_MSA
20000017,264.19469357,01,2,18,3,3,3,01,33,03,02,IN,18,02,37,441,03,03,19245,02,04,04,06,02,02,12,2008,02,1,200904,1,02,02,01,01,01,10,16000,TC,300,5,300,75,300,5,300,01,17588.656385,-1,-1,4,782,2.94,2300,25.8,01,22.5,02,XXXXX,XXXX
20000017,264.19469357,02,2,18,3,3,3,01,33,03,02,IN,18,02,18,024,03,03,15676,02,04,04,06,02,02,12,2008,01,1,200904,1,01,02,01,01,01,10,15646,TC,300,5,300,75,300,5,300,01,4548.0711469,-1,-1,4,255,2.94,748,24,01,17.9,03,XXXXX,XXXX
20000017,264.19469357,03,2,18,3,3,3,01,33,03,02,IN,18,02,20,002,03,03,130613,02,04,04,06,02,02,48,2004,01,1,200904,5,01,02,01,01,01,10,10000,TC,300,5,300,75,300,5,300,01,15992.486238,-1,-1,4,646,2.94,1898,28.6,01,24.8,01,XXXXX,XXXX
20000231,1278.1298855,01,1,08,1,1,1,01,73,07,03,TX,48,-1,35,043,03,03,69536,02,04,01,03,01,02,84,2001,01,1,200812,8,01,01,01,01,02,01,10000,S,1500,30,3000,1500,1500,5,3000,01,4383.906165,-1,-1,4,192,2.92,562,30.9,01,22.8,01,XXXXX,XXXX
20000521,383.45059859,01,2,06,2,2,2,01,73,07,03,TX,48,02,06,052,03,03,32514,02,01,01,03,01,02,12,2007,01,1,200902,2,01,01,01,01,01,10,2000,U,1500,30,3000,3000,3000,20,7000,01,4515.5205883,-1,01,4,194,2.9,562,31.4064,01,23.3,01,XXXXX,XXXX
20000521,383.45059859,02,2,06,2,2,2,01,73,07,03,TX,48,-1,49,040,03,03,101431,02,01,01,03,01,02,192,1996,02,1,200902,13,02,01,01,01,01,10,1000,U,1500,30,3000,3000,3000,20,7000,01,6394.8254608,-1,-1,4,299,2.9,866,27.2,01,21.4,01,XXXXX,XXXX
20001603,131.5991816,01,2,16,2,3,2,01,74,07,03,TX,48,02,07,482,04,06,5921,02,03,04,06,02,02,7,2008,02,1,200808,1,02,02,01,01,01,10,10150.285714,TC,50,20,50,25,50,20,50,01,7741.4952679,-1,-1,4,515,2.9,1493,18.6,01,15,04,19100,-1
20001603,131.5991816,02,2,16,2,3,2,01,74,07,03,TX,48,02,06,441,04,06,10004,02,03,04,06,02,02,12,2008,01,1,200808,1,01,02,01,01,01,10,10000,TC,50,20,50,25,50,20,50,01,4121.5998881,-1,-1,4,226,2.9,656,25,01,18.2,02,19100,-1
20001603,131.5991816,03,2,16,2,3,2,01,74,07,03,TX,48,-1,22,022,04,06,24738,02,03,04,06,02,-1,12,2007,-1,1,200808,2,-1,02,01,01,01,10,5000,TC,50,20,50,25,50,20,50,03,4597.404816,-1,01,4,195,2.9,566,31.6472,01,23.6,01,19100,-1
20001649,704.59468988,01,2,17,2,3,2,01,33,03,02,WI,55,02,55,402,03,02,2903,02,05,01,02,01,02,8,2007,01,0,200806,2,01,02,01,01,01,10,4354.5,TC,300,20,300,750,300,30,750,01,2688.2408433,-1,-1,4,159,2.94,466,25.8546,01,16.9,03,XXXXX,XXXX
20001649,704.59468988,02,2,17,2,3,2,01,33,03,02,WI,55,-1,20,004,03,02,80937,02,05,01,02,01,02,72,1988,99,0,200806,21,99,02,01,01,01,10,2000,TC,300,20,300,750,300,30,750,03,4684.5196302,-1,-1,4,275,2.94,807,22.8,01,17.1,01,XXXXX,XXXX
20001649,704.59468988,03,2,17,2,3,2,01,33,03,02,WI,55,02,06,441,03,02,35689,02,05,01,02,01,02,8,2005,02,0,200806,4,02,02,01,01,01,10,10500,TC,300,20,300,750,300,30,750,01,9550.2983488,-1,-1,4,460,2.94,1353,25,01,20.7,02,XXXXX,XXXX
20002440,331.86308584,01,2,-7,2,2,2,01,53,05,03,SC,45,02,12,481,03,03,64949,02,06,01,02,01,02,48,2004,02,0,200809,5,02,02,01,01,01,10,10000,TC,300,5,300,25,300,5,750,01,12429.065985,-1,-1,4,779,3.03,2360,18.8,01,16,04,XXXXX,XXXX
20002440,331.86308584,02,2,-7,2,2,2,01,53,05,03,SC,45,02,12,401,03,03,35872,02,06,01,02,01,02,48,2004,01,0,200809,5,01,02,01,01,01,10,5000,TC,300,5,300,25,300,5,750,01,1028.2019584,-1,-1,4,98,3.04,299,19.9,01,10.4,03,XXXXX,XXXX
20002570,225.21090109,01,2,16,4,2,2,01,72,07,03,TX,48,02,49,040,02,05,54884,02,05,01,04,01,02,36,2006,04,2,200807,3,04,02,01,01,01,06,20000,C,1500,20,7000,1500,1500,20,7000,01,18450.089597,-1,-1,4,672,2.9,1950,31.5,01,27.5,01,26420,3362
20002570,225.21090109,02,2,16,4,2,2,01,72,07,03,TX,48,-1,49,402,02,05,89982,02,05,01,04,01,02,72,1999,01,2,200807,10,01,02,01,01,01,06,15000,C,1500,20,7000,1500,1500,20,7000,01,14223.860461,-1,-1,4,544,2.9,1579,30.5,01,26.2,03,26420,3362
20002888,107.14252258,01,1,04,1,1,1,01,43,04,02,IA,19,02,18,007,03,01,41667,02,02,01,01,01,02,84,2002,01,0,200903,7,01,02,01,02,04,09,2500,TC,300,5,750,750,300,20,1500,01,7731.6177676,-1,-1,4,340,2.94,999,28.1,01,22.8,01,XXXXX,XXXX
