HOUSEID,PERSONID,FRSTHM,OUTOFTWN,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,ONTD_P14,ONTD_P15,TDCASEID,HH_HISP,HH_RACE,DRIVER,R_SEX,WORKER,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,FLAG100,LIF_CYC,TRIPPURP,AWAYHOME,CDIVMSAR,CENSUS_D,CENSUS_R,DROP_PRK,DRVR_FLG,EDUC,ENDTIME,HH_ONTD,HHMEMDRV,HHRESP,HHSTATE,HHSTFIPS,INTSTATE,MSACAT,MSASIZE,NONHHCNT,NUMONTRP,PAYTOLL,PRMACT,PROXY,PSGR_FLG,R_AGE,RAIL,STRTTIME,TRACC1,TRACC2,TRACC3,TRACC4,TRACC5,TRACCTM,TRAVDAY,TREGR1,TREGR2,TREGR3,TREGR4,TREGR5,TREGRTM,TRPACCMP,TRPHHACC,TRPHHVEH,TRPTRANS,TRVL_MIN,TRVLCMIN,TRWAITTM,URBAN,URBANSIZE,URBRUR,USEINTST,USEPUBTR,VEHID,WHODROVE,WHYFROM,WHYTO,WHYTRP1S,WRKCOUNT,DWELTIME,WHYTRP90,TDTRPNUM,TDWKND,TDAYDATE,TRPMILES,WTTRDFIN,VMT_MILE,PUBTRANS,HOMEOWN,HOMETYPE,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,GASPRICE,VEHTYPE,HH_CBSA,HHC_MSA
20000017,01,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170101,02,01,01,01,02,2,18,3,3,3,01,10,HBO,-1,33,03,02,-1,02,03,1020,2,01,02,IN,18,01,03,03,0,2,02,06,01,01,75,02,0955,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,25,25,-1,04,06,02,01,02,02,02,01,30,30,1,70,06,01,02,200904,22,68170.670425,-1,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,01,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170102,02,01,01,01,02,2,18,3,3,3,01,10,NHB,-1,33,03,02,-1,02,03,1132,2,01,02,IN,18,02,03,03,0,2,-1,06,01,01,75,02,1130,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,2,2,-1,04,06,02,01,02,02,02,30,53,50,1,118,08,02,02,200904,0.2222222222,68170.670425,-1,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,01,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170103,02,01,01,01,02,2,18,3,3,3,01,10,HBSOCREC,-1,33,03,02,-1,02,03,1400,2,01,02,IN,18,01,03,03,0,2,02,06,01,01,75,02,1330,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,30,30,-1,04,06,02,01,02,02,02,53,01,01,1,230,08,03,02,200904,22,68170.670425,-1,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,01,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170104,02,01,01,01,02,2,18,3,3,3,01,10,HBO,-1,33,03,02,-1,02,03,1825,2,01,02,IN,18,02,03,03,0,2,-1,06,01,01,75,02,1750,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,35,35,-1,04,06,02,01,02,02,02,01,22,20,1,95,05,04,02,200904,20,68170.670425,-1,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,01,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170105,02,01,01,01,02,2,18,3,3,3,01,10,HBO,-1,33,03,02,-1,02,03,2035,2,01,02,IN,18,02,03,03,0,2,-1,06,01,01,75,02,2000,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,35,35,-1,04,06,02,01,02,02,02,22,01,01,1,-9,05,05,02,200904,20,68170.670425,-1,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,02,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170201,02,01,01,02,01,2,18,3,3,3,01,10,HBSOCREC,-1,33,03,02,-1,01,03,1020,2,01,02,IN,18,01,03,03,0,2,02,07,01,02,58,02,0955,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,25,25,-1,04,06,02,01,02,02,02,01,53,50,1,2,08,01,02,200904,22,69589.496462,22,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,02,01,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170202,02,01,01,02,01,2,18,3,3,3,01,10,NHB,-1,33,03,02,-1,01,03,1025,1,-1,02,IN,18,02,03,03,0,1,-1,07,01,02,58,02,1022,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,0,0,01,03,3,3,-1,04,06,02,01,02,02,02,53,53,50,1,55,08,02,02,200904,0.2222222222,69589.496462,0.2222222222,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,02,01,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170203,02,01,01,02,01,2,18,3,3,3,01,10,NHB,-1,33,03,02,-1,01,03,1122,1,-1,02,IN,18,02,03,03,0,1,-1,07,01,02,58,02,1120,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,0,0,01,03,2,2,-1,04,06,02,01,02,02,02,53,71,70,1,8,04,03,02,200904,0.2222222222,69589.496462,0.2222222222,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,02,01,-1,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170204,02,01,01,02,01,2,18,3,3,3,01,10,NHB,-1,33,03,02,-1,01,03,1132,2,01,02,IN,18,02,03,03,0,2,-1,07,01,02,58,02,1130,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,1,1,01,03,2,2,-1,04,06,02,01,02,02,02,71,53,50,1,98,08,04,02,200904,0.2222222222,69589.496462,0.2222222222,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
20000017,02,01,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200000170205,02,01,01,02,01,2,18,3,3,3,01,10,NHB,-1,33,03,02,-1,01,03,1313,1,-1,02,IN,18,02,03,03,0,1,-1,07,01,02,58,02,1310,-1,-1,-1,-1,-1,-1,04,-1,-1,-1,-1,-1,-1,0,0,01,03,3,3,-1,04,06,02,01,02,02,02,53,71,70,1,17,04,05,02,200904,0.5555555556,69589.496462,0.5555555556,02,01,01,TC,300,5,300,75,300,5,300,200.8,03,XXXXX,XXXX
